"fips","year","percent_unemployed"
1000,"2007",4.0
1000,"2008",5.7
1000,"2009",11.0
1000,"2010",10.5
1000,"2011",9.6
1000,"2012",8.0
1000,"2013",7.2
1000,"2014",6.8
1000,"2015",6.1
1001,"2007",3.3
1001,"2008",5.1
1001,"2009",9.7
1001,"2010",8.9
1001,"2011",8.4
1001,"2012",6.9
1001,"2013",6.2
1001,"2014",5.9
1001,"2015",5.2
1003,"2007",3.1
1003,"2008",4.6
1003,"2009",9.8
1003,"2010",10.0
1003,"2011",9.0
1003,"2012",7.5
1003,"2013",6.6
1003,"2014",6.2
1003,"2015",5.5
1005,"2007",6.3
1005,"2008",8.8
1005,"2009",14.3
1005,"2010",12.3
1005,"2011",11.5
1005,"2012",11.5
1005,"2013",10.3
1005,"2014",10.6
1005,"2015",8.9
1007,"2007",4.1
1007,"2008",5.8
1007,"2009",13.3
1007,"2010",11.4
1007,"2011",10.5
1007,"2012",8.6
1007,"2013",7.9
1007,"2014",7.2
1007,"2015",6.6
1009,"2007",3.2
1009,"2008",4.7
1009,"2009",10.0
1009,"2010",9.8
1009,"2011",8.7
1009,"2012",6.9
1009,"2013",6.3
1009,"2014",6.2
1009,"2015",5.4
1011,"2007",9.4
1011,"2008",10.5
1011,"2009",15.6
1011,"2010",11.8
1011,"2011",11.6
1011,"2012",10.4
1011,"2013",9.4
1011,"2014",8.9
1011,"2015",7.8
1013,"2007",6.2
1013,"2008",8.5
1013,"2009",16.4
1013,"2010",13.6
1013,"2011",12.5
1013,"2012",11.6
1013,"2013",10.3
1013,"2014",8.6
1013,"2015",7.5
1015,"2007",3.9
1015,"2008",5.7
1015,"2009",11.1
1015,"2010",11.4
1015,"2011",10.3
1015,"2012",8.9
1015,"2013",8.8
1015,"2014",8.0
1015,"2015",7.0
1017,"2007",6.5
1017,"2008",14.4
1017,"2009",19.6
1017,"2010",14.9
1017,"2011",12.0
1017,"2012",9.9
1017,"2013",8.0
1017,"2014",6.7
1017,"2015",6.0
1019,"2007",4.2
1019,"2008",5.7
1019,"2009",11.7
1019,"2010",10.6
1019,"2011",9.7
1019,"2012",8.0
1019,"2013",6.6
1019,"2014",5.8
1019,"2015",5.4
1021,"2007",3.4
1021,"2008",5.1
1021,"2009",10.6
1021,"2010",10.3
1021,"2011",9.1
1021,"2012",7.2
1021,"2013",6.6
1021,"2014",6.3
1021,"2015",5.7
1023,"2007",5.9
1023,"2008",8.3
1023,"2009",13.5
1023,"2010",13.3
1023,"2011",13.1
1023,"2012",10.3
1023,"2013",9.3
1023,"2014",9.1
1023,"2015",9.1
1025,"2007",6.1
1025,"2008",9.0
1025,"2009",16.5
1025,"2010",19.9
1025,"2011",18.8
1025,"2012",15.0
1025,"2013",13.8
1025,"2014",12.2
1025,"2015",11.8
1027,"2007",5.5
1027,"2008",7.9
1027,"2009",16.7
1027,"2010",14.5
1027,"2011",11.8
1027,"2012",9.4
1027,"2013",8.4
1027,"2014",7.2
1027,"2015",6.2
1029,"2007",3.7
1029,"2008",5.1
1029,"2009",10.2
1029,"2010",10.0
1029,"2011",9.7
1029,"2012",8.2
1029,"2013",7.7
1029,"2014",6.6
1029,"2015",6.0
1031,"2007",3.8
1031,"2008",4.8
1031,"2009",8.5
1031,"2010",8.6
1031,"2011",8.1
1031,"2012",7.1
1031,"2013",6.9
1031,"2014",6.7
1031,"2015",5.9
1033,"2007",4.6
1033,"2008",6.5
1033,"2009",11.6
1033,"2010",11.5
1033,"2011",10.2
1033,"2012",8.8
1033,"2013",8.2
1033,"2014",8.3
1033,"2015",7.9
1035,"2007",6.4
1035,"2008",9.4
1035,"2009",19.9
1035,"2010",17.2
1035,"2011",15.2
1035,"2012",11.9
1035,"2013",10.8
1035,"2014",10.4
1035,"2015",9.2
1037,"2007",5.8
1037,"2008",8.3
1037,"2009",16.0
1037,"2010",15.4
1037,"2011",12.5
1037,"2012",9.4
1037,"2013",9.2
1037,"2014",8.8
1037,"2015",6.7
1039,"2007",3.9
1039,"2008",5.9
1039,"2009",10.8
1039,"2010",10.3
1039,"2011",9.8
1039,"2012",8.4
1039,"2013",8.1
1039,"2014",7.8
1039,"2015",7.1
1041,"2007",4.3
1041,"2008",5.6
1041,"2009",10.4
1041,"2010",10.2
1041,"2011",9.9
1041,"2012",8.3
1041,"2013",7.6
1041,"2014",6.9
1041,"2015",6.0
1043,"2007",3.4
1043,"2008",4.9
1043,"2009",10.3
1043,"2010",10.4
1043,"2011",9.5
1043,"2012",7.7
1043,"2013",6.6
1043,"2014",6.1
1043,"2015",5.3
1045,"2007",4.0
1045,"2008",5.4
1045,"2009",9.6
1045,"2010",8.8
1045,"2011",8.3
1045,"2012",7.4
1045,"2013",7.4
1045,"2014",7.1
1045,"2015",6.4
1047,"2007",8.3
1047,"2008",11.1
1047,"2009",21.1
1047,"2010",16.9
1047,"2011",15.1
1047,"2012",12.9
1047,"2013",12.3
1047,"2014",11.3
1047,"2015",9.6
1049,"2007",4.3
1049,"2008",5.8
1049,"2009",14.3
1049,"2010",12.7
1049,"2011",11.8
1049,"2012",9.1
1049,"2013",7.6
1049,"2014",6.9
1049,"2015",6.0
1051,"2007",3.3
1051,"2008",5.1
1051,"2009",9.5
1051,"2010",9.1
1051,"2011",8.4
1051,"2012",6.9
1051,"2013",6.2
1051,"2014",5.7
1051,"2015",5.1
1053,"2007",5.3
1053,"2008",7.6
1053,"2009",13.5
1053,"2010",11.8
1053,"2011",10.8
1053,"2012",9.2
1053,"2013",8.6
1053,"2014",8.0
1053,"2015",7.0
1055,"2007",4.5
1055,"2008",6.0
1055,"2009",11.5
1055,"2010",10.9
1055,"2011",10.0
1055,"2012",8.2
1055,"2013",7.6
1055,"2014",7.1
1055,"2015",6.1
1057,"2007",4.7
1057,"2008",7.2
1057,"2009",14.0
1057,"2010",13.0
1057,"2011",11.1
1057,"2012",8.6
1057,"2013",8.3
1057,"2014",7.9
1057,"2015",7.0
1059,"2007",4.6
1059,"2008",7.4
1059,"2009",13.4
1059,"2010",10.7
1059,"2011",9.6
1059,"2012",8.4
1059,"2013",8.1
1059,"2014",7.8
1059,"2015",6.4
1061,"2007",3.5
1061,"2008",5.5
1061,"2009",10.8
1061,"2010",10.4
1061,"2011",9.2
1061,"2012",7.6
1061,"2013",7.0
1061,"2014",6.7
1061,"2015",5.9
1063,"2007",6.4
1063,"2008",8.5
1063,"2009",15.3
1063,"2010",17.3
1063,"2011",17.3
1063,"2012",13.6
1063,"2013",12.8
1063,"2014",12.5
1063,"2015",11.0
1065,"2007",5.4
1065,"2008",7.4
1065,"2009",14.3
1065,"2010",15.1
1065,"2011",13.8
1065,"2012",11.5
1065,"2013",11.7
1065,"2014",9.9
1065,"2015",7.8
1067,"2007",5.4
1067,"2008",7.7
1067,"2009",11.2
1067,"2010",10.9
1067,"2011",9.7
1067,"2012",8.3
1067,"2013",7.7
1067,"2014",7.5
1067,"2015",6.8
1069,"2007",3.3
1069,"2008",4.9
1069,"2009",9.3
1069,"2010",9.1
1069,"2011",8.6
1069,"2012",7.6
1069,"2013",6.9
1069,"2014",6.8
1069,"2015",6.2
1071,"2007",4.5
1071,"2008",6.2
1071,"2009",12.8
1071,"2010",11.8
1071,"2011",10.3
1071,"2012",8.6
1071,"2013",7.9
1071,"2014",7.3
1071,"2015",6.6
1073,"2007",3.9
1073,"2008",5.4
1073,"2009",10.8
1073,"2010",10.3
1073,"2011",9.3
1073,"2012",7.4
1073,"2013",6.7
1073,"2014",6.3
1073,"2015",5.8
1075,"2007",6.3
1075,"2008",8.0
1075,"2009",16.0
1075,"2010",13.2
1075,"2011",9.7
1075,"2012",7.5
1075,"2013",7.1
1075,"2014",7.0
1075,"2015",6.3
1077,"2007",4.3
1077,"2008",5.7
1077,"2009",10.7
1077,"2010",10.1
1077,"2011",9.1
1077,"2012",7.7
1077,"2013",7.1
1077,"2014",7.2
1077,"2015",6.9
1079,"2007",4.1
1079,"2008",6.5
1079,"2009",13.6
1079,"2010",12.6
1079,"2011",10.9
1079,"2012",9.0
1079,"2013",8.4
1079,"2014",8.3
1079,"2015",7.7
1081,"2007",3.6
1081,"2008",5.2
1081,"2009",9.4
1081,"2010",9.0
1081,"2011",8.1
1081,"2012",6.8
1081,"2013",5.9
1081,"2014",5.6
1081,"2015",5.1
1083,"2007",3.3
1083,"2008",4.7
1083,"2009",9.8
1083,"2010",9.6
1083,"2011",8.6
1083,"2012",6.9
1083,"2013",6.3
1083,"2014",6.1
1083,"2015",5.5
1085,"2007",7.5
1085,"2008",10.9
1085,"2009",19.3
1085,"2010",18.5
1085,"2011",17.7
1085,"2012",15.4
1085,"2013",14.2
1085,"2014",12.9
1085,"2015",11.6
1087,"2007",5.4
1087,"2008",7.4
1087,"2009",12.2
1087,"2010",14.8
1087,"2011",14.0
1087,"2012",10.7
1087,"2013",9.7
